logN,mode,avg_bw_KB,avg_rounds,avg_answer_rnd,hit_pct
16,Baseline,379.31,73,73,70
16,TM,298.96,54,54,70
16,FO,501.66,73,54,70
18,Baseline,456.00,79,79,60
18,TM,356.11,59,59,60
18,FO,572.72,79,59,60
20,Baseline,557.16,88,88,58
20,TM,410.15,64,64,58
20,FO,668.25,88,64,58
22,Baseline,668.44,97,97,52
22,TM,482.49,70,70,52
22,FO,773.91,97,70,52
24,Baseline,789.84,106,106,48
24,TM,572.44,77,77,48
24,FO,889.69,106,77,48
