logN,n,config,avg_time_us,avg_pages,hit_pct
18,65536,tiered_packed,105052.0,1616.0,92.5
18,32768,tiered_packed,102858.0,1276.5,89.5
18,16384,tiered_packed,101207.8,1098.7,83.5
18,8192,tiered_packed,100118.7,1004.9,74.0
18,4096,tiered_packed,99217.5,952.3,70.0
