logN,split,avg_time_us,avg_pages,avg_cold_up,avg_cold_lo
14,0,50295.7,483.2,0.0,473.2
14,1,46076.6,483.1,59.3,413.8
16,0,77730.0,709.9,0.0,699.9
16,1,70781.2,688.9,59.2,619.7
18,0,109828.7,951.6,0.0,941.6
18,1,98467.8,909.0,59.5,839.5
20,0,155086.7,1262.5,0.0,1252.5
20,1,139810.9,1195.2,59.4,1125.8
22,0,213053.3,1612.0,0.0,1602.0
22,1,193591.5,1526.1,59.4,1456.8
24,0,284282.6,2013.8,0.0,2003.8
24,1,258673.2,1894.7,59.0,1825.7
