query_idx,backend,scenario,hit_pct
2200,BPlus,with_maint,3.0
2300,BPlus,with_maint,8.0
2400,BPlus,with_maint,10.0
2500,BPlus,with_maint,23.0
2600,BPlus,with_maint,22.0
2700,BPlus,with_maint,31.0
2800,BPlus,with_maint,26.0
2900,BPlus,with_maint,27.0
3000,BPlus,with_maint,23.0
3100,BPlus,with_maint,30.0
3200,BPlus,with_maint,24.0
3300,BPlus,with_maint,26.0
3400,BPlus,with_maint,28.0
3500,BPlus,with_maint,32.0
3600,BPlus,with_maint,20.0
3700,BPlus,with_maint,26.0
3800,BPlus,with_maint,34.0
3900,BPlus,with_maint,32.0
4000,BPlus,with_maint,23.0
4100,BPlus,with_maint,26.0
4200,BPlus,with_maint,33.0
4300,BPlus,with_maint,30.0
4400,BPlus,with_maint,32.0
4500,BPlus,with_maint,26.0
4600,BPlus,with_maint,23.0
4700,BPlus,with_maint,40.0
4800,BPlus,with_maint,44.0
4900,BPlus,with_maint,37.0
5000,BPlus,with_maint,35.0
100,DaAvl,no_maint,73.0
200,DaAvl,no_maint,70.0
300,DaAvl,no_maint,74.0
400,DaAvl,no_maint,61.0
500,DaAvl,no_maint,78.0
600,DaAvl,no_maint,70.0
700,DaAvl,no_maint,65.0
800,DaAvl,no_maint,71.0
900,DaAvl,no_maint,78.0
1000,DaAvl,no_maint,71.0
1100,DaAvl,no_maint,67.0
1200,DaAvl,no_maint,70.0
1300,DaAvl,no_maint,65.0
1400,DaAvl,no_maint,68.0
1500,DaAvl,no_maint,72.0
1600,DaAvl,no_maint,71.0
1700,DaAvl,no_maint,75.0
1800,DaAvl,no_maint,68.0
1900,DaAvl,no_maint,65.0
2000,DaAvl,no_maint,73.0
2100,DaAvl,no_maint,2.0
2200,DaAvl,no_maint,1.0
2300,DaAvl,no_maint,3.0
2400,DaAvl,no_maint,1.0
2500,DaAvl,no_maint,3.0
2600,DaAvl,no_maint,3.0
2700,DaAvl,no_maint,1.0
2800,DaAvl,no_maint,0.0
2900,DaAvl,no_maint,3.0
3000,DaAvl,no_maint,2.0
3100,DaAvl,no_maint,1.0
3200,DaAvl,no_maint,0.0
3300,DaAvl,no_maint,3.0
3400,DaAvl,no_maint,3.0
3500,DaAvl,no_maint,2.0
3600,DaAvl,no_maint,1.0
3700,DaAvl,no_maint,2.0
