N,n,s,baseline_bw,baseline_rnd,fo_bw,fo_rnd,fo_ans_rnd,tm_bw,tm_rnd,tm_ans_rnd,fo_nosplit_bw,fo_nosplit_rnd,fo_nosplit_ans_rnd,hit_pct
4096,1024,1.2,67392,18,105408,17,15.1467,84591,15.1467,15.1467,111168,17,15.1467,92.6667
16384,1024,1.2,90720,21,126720,21,15.7,88560,15.7,15.7,138240,21,15.7,88.3333
65536,1024,1.2,117504,24,147744,24,16.38,93855,16.38,16.38,165024,24,16.38,84.6667
262144,1024,1.2,142272,26,166752,26,17.1633,100814,17.1633,17.1633,189792,26,17.1633,80.3333
1048576,1024,1.2,175392,29,194112,29,17.8933,107746,17.8933,17.8933,222912,29,17.8933,79.3333
