onset_queries_K,B_swap,hit_rate_pct
385.0,32,42.95
390.0,32,42.95
395.0,32,42.96
400.0,32,42.88
405.0,32,42.84
410.0,32,42.85
415.0,32,42.85
420.0,32,42.82
425.0,32,42.84
430.0,32,42.88
435.0,32,42.93
440.0,32,43.00
445.0,32,43.02
450.0,32,42.99
455.0,32,42.98
460.0,32,42.95
465.0,32,42.90
470.0,32,42.88
475.0,32,42.87
480.0,32,42.85
485.0,32,42.91
490.0,32,42.93
495.0,32,42.99
0.0,no_maint,0.00
5.0,no_maint,0.00
10.0,no_maint,0.00
15.0,no_maint,0.00
20.0,no_maint,0.00
25.0,no_maint,0.00
30.0,no_maint,0.00
35.0,no_maint,0.00
40.0,no_maint,0.00
45.0,no_maint,0.00
50.0,no_maint,0.00
55.0,no_maint,0.00
60.0,no_maint,0.00
65.0,no_maint,0.00
70.0,no_maint,0.00
75.0,no_maint,0.00
80.0,no_maint,0.00
85.0,no_maint,0.00
90.0,no_maint,0.00
95.0,no_maint,0.00
100.0,no_maint,0.00
105.0,no_maint,0.00
110.0,no_maint,0.00
115.0,no_maint,0.00
120.0,no_maint,0.00
125.0,no_maint,0.00
130.0,no_maint,0.00
135.0,no_maint,0.00
140.0,no_maint,0.00
145.0,no_maint,0.00
150.0,no_maint,0.00
155.0,no_maint,0.00
160.0,no_maint,0.00
165.0,no_maint,0.00
170.0,no_maint,0.00
175.0,no_maint,0.00
180.0,no_maint,0.00
185.0,no_maint,0.00
190.0,no_maint,0.00
195.0,no_maint,0.00
200.0,no_maint,0.00
205.0,no_maint,0.00
210.0,no_maint,0.00
215.0,no_maint,0.00
220.0,no_maint,0.00
225.0,no_maint,0.00
230.0,no_maint,0.00
235.0,no_maint,0.00
240.0,no_maint,0.00
245.0,no_maint,0.00
250.0,no_maint,0.00
255.0,no_maint,0.00
260.0,no_maint,0.00
265.0,no_maint,0.00
270.0,no_maint,0.00
275.0,no_maint,0.00
280.0,no_maint,0.00
285.0,no_maint,0.00
290.0,no_maint,0.00
295.0,no_maint,0.00
300.0,no_maint,0.00
305.0,no_maint,0.00
310.0,no_maint,0.00
315.0,no_maint,0.00
320.0,no_maint,0.00
325.0,no_maint,0.00
330.0,no_maint,0.00
335.0,no_maint,0.00
340.0,no_maint,0.00
345.0,no_maint,0.00
350.0,no_maint,0.00
355.0,no_maint,0.00
360.0,no_maint,0.00
365.0,no_maint,0.00
370.0,no_maint,0.00
375.0,no_maint,0.00
380.0,no_maint,0.00
385.0,no_maint,0.00
390.0,no_maint,0.00
395.0,no_maint,0.00
400.0,no_maint,0.00
405.0,no_maint,0.00
410.0,no_maint,0.00
415.0,no_maint,0.00
420.0,no_maint,0.00
425.0,no_maint,0.00
430.0,no_maint,0.00
435.0,no_maint,0.00
440.0,no_maint,0.00
445.0,no_maint,0.00
450.0,no_maint,0.00
455.0,no_maint,0.00
460.0,no_maint,0.00
465.0,no_maint,0.00
470.0,no_maint,0.00
475.0,no_maint,0.00
480.0,no_maint,0.00
485.0,no_maint,0.00
490.0,no_maint,0.00
495.0,no_maint,0.00
