onset_queries_K,B_swap,hit_rate_pct
385.0,32,51.37
390.0,32,51.37
395.0,32,51.36
400.0,32,51.28
405.0,32,51.16
410.0,32,51.13
415.0,32,51.12
420.0,32,51.12
425.0,32,51.13
430.0,32,51.13
435.0,32,51.19
440.0,32,51.27
445.0,32,51.35
450.0,32,51.37
455.0,32,51.37
460.0,32,51.37
465.0,32,51.28
470.0,32,51.23
475.0,32,51.17
480.0,32,51.20
485.0,32,51.22
490.0,32,51.25
495.0,32,51.29
0.0,no_maint,0.01
5.0,no_maint,0.01
10.0,no_maint,0.01
15.0,no_maint,0.01
20.0,no_maint,0.01
25.0,no_maint,0.01
30.0,no_maint,0.01
35.0,no_maint,0.01
40.0,no_maint,0.01
45.0,no_maint,0.01
50.0,no_maint,0.01
55.0,no_maint,0.01
60.0,no_maint,0.01
65.0,no_maint,0.01
70.0,no_maint,0.01
75.0,no_maint,0.01
80.0,no_maint,0.01
85.0,no_maint,0.01
90.0,no_maint,0.01
95.0,no_maint,0.01
100.0,no_maint,0.01
105.0,no_maint,0.01
110.0,no_maint,0.01
115.0,no_maint,0.01
120.0,no_maint,0.01
125.0,no_maint,0.01
130.0,no_maint,0.01
135.0,no_maint,0.01
140.0,no_maint,0.01
145.0,no_maint,0.01
150.0,no_maint,0.01
155.0,no_maint,0.01
160.0,no_maint,0.01
165.0,no_maint,0.01
170.0,no_maint,0.01
175.0,no_maint,0.01
180.0,no_maint,0.01
185.0,no_maint,0.01
190.0,no_maint,0.01
195.0,no_maint,0.01
200.0,no_maint,0.01
205.0,no_maint,0.01
210.0,no_maint,0.01
215.0,no_maint,0.01
220.0,no_maint,0.01
225.0,no_maint,0.01
230.0,no_maint,0.01
235.0,no_maint,0.01
240.0,no_maint,0.01
245.0,no_maint,0.01
250.0,no_maint,0.01
255.0,no_maint,0.01
260.0,no_maint,0.01
265.0,no_maint,0.01
270.0,no_maint,0.01
275.0,no_maint,0.01
280.0,no_maint,0.01
285.0,no_maint,0.01
290.0,no_maint,0.01
295.0,no_maint,0.01
300.0,no_maint,0.01
305.0,no_maint,0.01
310.0,no_maint,0.01
315.0,no_maint,0.01
320.0,no_maint,0.01
325.0,no_maint,0.01
330.0,no_maint,0.01
335.0,no_maint,0.01
340.0,no_maint,0.01
345.0,no_maint,0.01
350.0,no_maint,0.01
355.0,no_maint,0.01
360.0,no_maint,0.01
365.0,no_maint,0.01
370.0,no_maint,0.01
375.0,no_maint,0.01
380.0,no_maint,0.01
385.0,no_maint,0.01
390.0,no_maint,0.01
395.0,no_maint,0.01
400.0,no_maint,0.01
405.0,no_maint,0.01
410.0,no_maint,0.01
415.0,no_maint,0.01
420.0,no_maint,0.01
425.0,no_maint,0.01
430.0,no_maint,0.01
435.0,no_maint,0.01
440.0,no_maint,0.01
445.0,no_maint,0.01
450.0,no_maint,0.01
455.0,no_maint,0.01
460.0,no_maint,0.01
465.0,no_maint,0.01
470.0,no_maint,0.01
475.0,no_maint,0.01
480.0,no_maint,0.01
485.0,no_maint,0.01
490.0,no_maint,0.01
495.0,no_maint,0.01
