N,n,s,baseline_bw,baseline_rnd,fo_bw,fo_rnd,fo_ans_rnd,tm_bw,tm_rnd,tm_ans_rnd,fo_nosplit_bw,fo_nosplit_rnd,fo_nosplit_ans_rnd,hit_pct
4096,1024,1.5,67392,18,105408,17,15.02,83168,15.02,15.02,111168,17,15.02,99
16384,1024,1.5,90720,21,126720,21,15.08,84096,15.08,15.08,138240,21,15.08,98.6667
65536,1024,1.5,117504,24,147744,24,15.12,84944,15.12,15.12,165024,24,15.12,98.6667
262144,1024,1.5,142272,26,166752,26,15.1467,85766,15.1467,15.1467,189792,26,15.1467,98.6667
1048576,1024,1.5,175392,29,194112,29,15.1867,86699,15.1867,15.1867,222912,29,15.1867,98.6667
