profile,logN,N,n,s,value_size,Q,config,measured_hot_us,measured_cold_us,measured_total_us,modeled_total_us,hit_pct,speedup_measured,speedup_modeled,trusted_kb,page_us,hot_working_kb,cold_working_kb,cold_pages_est,hot_pages_avg
large,16,65536,128,1.200,256,20,flat_original_enigmap,2203.252,2203.252,2203.252,2203.252,-1.000,1.000,1.000,0,0.000,266,81920,936.000,0.000
large,16,65536,128,1.200,256,20,packed_FO_original_enigmap,2356.977,2341.618,2352.369,2352.369,70.000,0.937,0.937,0,0.000,266,81920,936.000,2.000
large,16,65536,128,1.200,256,20,packed_TM_original_enigmap,163.821,2184.311,769.968,769.968,70.000,2.861,2.861,0,0.000,266,81920,936.000,2.000
