profile,logN,N,n,s,value_size,data_value_size,Q,config,measured_hot_us,measured_cold_us,measured_total_us,measured_answer_us,avg_map_us,avg_data_us,modeled_total_us,hit_pct,speedup_measured,speedup_answer_measured,speedup_modeled,trusted_kb,page_us,hot_working_kb,cold_working_kb,cold_pages_est,hot_pages_avg
large,18,262144,128,1.200,256,0,200,flat_original_enigmap,2794.104,2794.104,2794.104,2794.104,2794.104,0.000,2794.104,-1.000,1.000,1.000,1.000,0,0.000,266,327680,1160.000,0.000
large,18,262144,128,1.200,256,0,200,packed_FO_original_enigmap,159.353,2928.231,2953.826,893.106,2953.826,0.000,2953.826,73.500,0.946,3.129,0.946,0,0.000,266,327680,1160.000,2.000
large,18,262144,128,1.200,256,0,200,packed_TM_original_enigmap,159.775,2777.481,853.489,853.467,853.489,0.000,853.467,73.500,3.274,3.274,3.274,0,0.000,266,327680,1160.000,2.000
